B,CD4,CD8,DC,Epi,Macro,Mast,Mega,Mono,Neu,NK,Plasma
3574,3,6,0,0,0,0,5,15,0,0,26
140,1893,1485,19,0,0,0,7,425,1,34,2
1939,6,28,0,0,0,0,0,28,0,6,32
47,521,1137,15,0,2,0,2,744,3,29,0
2017,98,259,45,0,0,0,92,452,0,26,66
151,1513,3533,139,0,1,0,134,2397,1,48,3
262,2,3,0,0,0,0,0,4,0,0,3
12,803,1053,3,0,0,0,1,48,0,4,0
1586,2,19,1,0,0,0,4,65,0,11,12
50,1048,1097,18,0,0,0,21,291,1,58,1
1187,2243,2899,109,0,0,0,77,2043,0,395,36
179,242,303,21,0,0,0,10,189,1,31,3
1624,984,3341,139,0,0,0,30,2453,0,560,114
1092,1052,2408,64,0,1,0,58,4614,0,661,8
216,171,384,51,0,5,0,52,1103,0,120,13
406,1283,1933,54,0,0,0,29,666,2,294,5
263,1187,1985,87,0,1,0,24,1030,6,231,4
187,1024,2273,93,0,0,0,18,795,0,320,4
300,993,2040,53,0,0,0,23,743,2,205,8
336,1756,2728,139,0,0,0,22,1341,0,320,12
34,294,676,80,112,1279,0,0,495,2,58,2
709,2088,3424,143,0,5,0,22,2748,2,739,2
21,348,655,59,124,1399,0,0,246,1,56,1
7,27,145,27,33,63,0,0,9,2,2,0
900,3857,3725,116,0,2,0,184,2040,0,871,14
1203,969,1516,73,0,11,0,169,1747,3,315,7
866,1694,3118,46,0,1,0,214,2118,4,509,26
619,2108,3239,58,0,5,0,33,1495,0,424,20
7,3,0,2,51,6,0,0,138,41,0,0
210,1917,1110,17,0,0,0,8,191,1,140,1
125,3757,1421,18,0,551,0,21,259,80,46,13
4,2,3,2,239,0,0,0,0,0,2,0
5,1,3,4,285,34,0,0,58,55,2,0
0,1,1,5,21,20,0,0,355,85,1,0
3,4,1,0,21,6,0,0,17,18,1,0
4,0,1,1,70,3,0,0,117,34,0,0
5,1,0,1,75,4,0,0,155,33,0,0
1,3,1,40,31,272,0,0,342,384,8,0
15,1,1,12,80,102,0,0,145,46,1,0
1,0,1,6,203,16,0,0,140,28,0,0
1,0,1,4,166,22,0,0,138,42,0,0
2,10,40,6,330,97,0,0,56,3,35,0
2,7,20,13,15,63,0,0,24,20,4,0
0,2,1,7,20,29,0,0,313,82,1,0
7,3,3,10,159,12,0,0,441,80,0,0
5,16,13,68,45,415,0,0,1085,276,2,0
4,1,0,4,250,0,0,0,12,1,1,0
0,6,2,29,117,144,0,0,2629,404,0,0
4,4,2,7,335,14,0,0,136,33,0,0
1,1,1,8,128,41,0,0,19,23,3,0
179,1013,1908,36,0,3,0,74,889,2,216,0
501,551,2252,99,0,5,0,26,1971,7,80,0
564,992,680,15,0,0,0,22,1028,2,53,3
393,1390,1959,88,0,4,0,18,1979,1,317,12
277,977,1511,70,0,5,0,18,2167,3,192,1
246,1083,827,75,0,16,0,72,4324,31,57,6
392,1112,1905,56,0,2,0,62,2030,44,96,0
445,2769,1023,53,0,26,0,63,2463,60,96,40
5713,0,11,0,0,0,0,1,6,0,0,2
5658,1,5,0,0,0,0,1,6,0,0,2
5948,4,10,1,0,0,0,0,10,0,3,1
4197,19,36,2,0,0,0,2,20,1,4,1
4296,24,22,3,0,0,0,1,16,0,9,1
5095,1,5,0,0,0,0,2,2,0,0,3
4371,1,3,1,0,0,0,2,1,0,0,1
6708,2,2,1,0,0,0,1,3,0,1,0
6284,2,7,2,0,0,0,2,0,0,0,1
6889,1,4,2,0,0,0,2,2,0,1,3
743,590,1683,1,0,1,0,1,45,0,7,17
446,2221,3586,0,0,0,0,11,15,0,21,293
1613,1030,833,3,0,2,0,5,61,0,31,56
825,4810,2751,0,0,1,0,16,60,0,24,38
2215,1537,2104,3,0,1,0,5,69,0,98,46
362,831,1782,75,0,2,0,7,3409,2,574,29
1160,1387,1129,25,0,3,0,14,2934,1,36,8
466,675,1078,14,0,0,0,15,2683,0,61,10
1266,1034,803,25,0,29,0,53,2650,0,47,59
95,225,263,3,0,0,0,5,131,0,196,3
6,43,36,1,0,0,0,0,63,0,6,5
266,888,1256,15,0,1,0,17,378,0,304,22
229,429,2798,26,0,0,0,4,35,0,1081,26
62,485,2020,11,0,0,0,0,70,0,995,5
252,218,457,1,0,1,0,22,282,0,104,129
179,196,372,1,0,0,0,23,247,1,88,93
162,1282,824,3,0,0,0,5,104,0,40,36
94,122,596,2,0,0,0,7,334,0,248,48
73,265,246,2,0,0,0,2,435,0,21,5
70,301,1721,15,0,0,0,1,67,0,504,11
4575,1393,2879,20,0,0,0,448,772,1,286,227
561,2096,5956,171,0,5,0,64,1805,0,622,66
187,167,78,9,0,0,0,581,705,1,4,98
1027,975,514,29,0,0,0,96,2438,3,107,105
1624,3228,1614,160,0,2,0,20,855,2,274,14
618,3773,1599,5,0,0,0,161,333,4,336,235
1534,918,2960,10,0,0,0,663,213,0,132,28
1226,1560,2459,32,0,0,0,252,507,0,110,589
282,1299,713,53,0,0,0,25,1129,4,207,21
330,816,4668,29,0,4,0,710,981,1,821,8
1458,1717,3577,139,0,10,0,446,1802,2,2075,65
1446,1119,4130,257,0,1,0,1816,6182,5,242,597
1116,409,627,48,0,4,0,107,5997,14,63,1596
6572,3706,3834,77,0,5,0,122,1659,0,350,20
636,689,1404,108,0,1,0,76,2568,5,123,83
879,3231,965,14,0,0,0,115,1949,4,109,182
1220,2573,7953,294,0,3,0,1226,3653,2,1087,225
450,986,1105,32,0,14,0,30,2056,0,1036,54
700,513,1532,15,0,0,0,167,1554,2,214,406
845,1498,1399,91,0,8,0,21,1829,14,109,37
356,740,854,46,0,5,0,129,2144,15,222,33
27,149,99,4,0,3,0,72,130,1,50,9
253,559,1696,9,0,1,0,278,542,0,411,23
108,237,1994,184,0,11,0,40,1917,2,439,22
569,643,435,47,0,4,0,36,999,1,127,2
145,201,992,46,0,1,0,7,1058,0,432,2
168,229,1087,31,0,1,0,20,1197,1,434,2
169,222,498,99,0,0,0,1,1443,0,133,14
381,1805,1289,116,0,5,0,5,4204,10,287,27
1187,1856,1672,12,0,0,0,18,1647,1,48,44
222,604,938,239,0,9,0,20,3421,5,98,36
871,636,2052,147,0,2,0,11,1145,1,400,33
300,121,165,4,0,0,0,1,27,0,19,0
29,6,3,0,0,5,0,1,105,2,1,3
3333,783,214,15,0,0,0,9,901,6,21,46
68,19,9,3,0,3,0,0,131,0,6,0
866,596,643,4,0,5,0,10,783,10,18,9
944,322,339,11,0,1,0,2,463,9,9,1
22,7,4,5,0,1,0,1,375,8,1,1
154,29,25,0,0,3,0,50,669,3,7,9
19,11,24,1,0,0,0,1,0,0,0,1
111,60,62,10,0,0,0,0,55,0,0,11
101,52,50,3,0,1,0,0,34,0,1,1
548,5,19,0,0,0,0,10,13,0,1,1831
5,220,339,2,0,0,0,14,249,50,1,10
1497,2,22,0,0,0,0,8,76,0,0,171
18,509,421,14,0,1,0,20,1019,4,1,2
1679,2,6,0,0,0,0,2,4,0,3,6
6,250,195,0,0,0,0,4,36,0,4,0
3010,4,31,2,0,0,0,9,74,1,2,201
16,189,1342,8,0,0,0,26,525,0,6,1
275,1229,2603,84,0,1,0,20,867,0,177,11
257,1352,3004,97,0,1,0,40,848,3,302,7
342,845,2466,66,0,0,0,30,785,3,264,9
261,1119,1238,83,0,2,0,36,871,0,130,25
77,420,1214,48,0,1,0,29,1131,11,215,9
495,1112,3426,76,0,0,0,43,1161,1,278,9
370,2252,1787,42,0,1,0,23,608,2,308,8
565,2914,2929,100,0,0,0,23,579,0,139,15
38,179,485,110,286,5592,2,0,5745,66,174,12
481,3270,1855,122,0,0,0,170,5983,0,671,40
30,1114,733,289,342,7799,9,0,4660,430,286,75
586,3162,3453,33,0,0,0,119,3273,4,2103,125
4,25,45,67,83,435,0,0,112,201,13,3
2081,1312,781,34,0,5,0,190,3203,3,189,41
5,77,81,78,367,753,2,0,228,26,7,5
1521,3147,1366,44,0,2,0,61,4305,6,33,41
30,346,317,27,193,486,4,0,475,32,23,1
757,1284,1584,72,0,21,0,186,7937,2,150,14
50,70,477,31,285,508,0,0,486,16,10,376
222,196,285,13,0,3,0,246,2072,3,36,435
321,187,108,3,0,1,0,81,449,82,10,4
917,629,1248,41,0,4,0,87,5650,3,1001,74
