Meso,Epi,Mast,Club,SMC,Macro,B,Den,Stroma,Macro (alv),NK,T (CD4+),T (CD8+),Pericyte,Myeloid,Neutrophil,Den (plas),Plasma,T (reg),Mono,Mono (non),Den (conv),Malignant,Pneu (type II),Pneu (type I),Endo (ves),Endo (capi),Den (CD1c+),Endo (vein),Fibro,Epi (ciliated),Endo (artery),Fibro (bron)
0,6,6,0,1,28,9,0,0,67,10,30,16,1,0,0,0,11,3,114,3,0,0,11,10,3,6,1,9,9,0,6,1
0,10,0,0,3,0,0,0,1,0,1,0,0,16,0,0,0,1,0,0,0,0,15,12,15,683,452,0,1354,6,0,185,8
0,67,36,1,6,612,6,1,1,1705,369,16,54,3,38,0,18,13,0,7,0,0,83,7,100,221,3071,6,849,5,11,72,8
0,565,42,7,3,211,11,0,1,764,483,68,23,32,52,0,1,33,0,8,0,0,1243,15,113,170,613,3,1517,7,21,50,59
0,44,82,0,5,1124,91,4,0,496,169,72,301,0,81,7,156,77,10,260,2,6,3,22,20,477,599,77,209,5,2,115,9
0,1092,14,6,2,383,8,0,1,564,127,20,10,79,31,0,3,60,2,10,0,4,30,0,23,199,170,13,1597,11,22,62,3
7,911,22,3,6,165,6,0,1,2000,61,13,10,28,49,0,0,285,0,4,0,0,89,73,470,354,288,41,901,91,18,134,16
0,128,225,0,0,314,5,4,2,1081,191,33,69,10,65,0,3,62,3,36,5,2,15,5,505,357,765,34,922,15,4,105,23
0,0,0,0,0,0,0,0,0,1,0,307,186,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17,54,136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,17,378,400,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,190,193,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,26,194,299,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,42,373,411,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,292,368,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,299,229,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,274,310,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,366,294,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,382,297,0,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,69,91,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,30,76,108,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1188,290,4,9,4959,164,36,0,7012,1201,2534,1090,22,161,0,7,111,139,216,41,40,720,274,182,48,99,551,110,88,69,0,191
0,119,249,69,6,3319,249,71,6,3032,1235,2568,2184,9,390,0,46,115,513,414,37,52,560,348,168,54,216,1059,117,50,601,32,61
79,411,173,92,13,1119,66,52,0,4140,663,2433,852,8,197,0,32,13,81,190,87,31,2773,90,88,116,93,639,140,72,1103,10,12
90,6449,283,14,21,1070,193,41,1,3153,535,2105,754,4,86,0,10,45,61,446,62,56,335,365,1349,58,102,460,191,217,595,18,56
0,55,143,6,7,707,366,78,0,1461,1792,2451,2851,18,154,0,50,538,1396,294,67,39,296,98,149,13,94,729,96,30,250,2,48
0,9,10,0,0,208,32,7,0,20,45,184,383,1,1,0,4,62,71,33,3,5,138,1,5,0,2,40,0,3,0,1,2
0,7,90,0,1,324,144,3,0,79,165,237,382,7,8,0,12,86,161,40,29,7,217,33,57,7,9,38,20,34,2,5,64
